image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
5275251433_jpg.rf.f318573f6bc0ed7ca38c2733d1a60146,,,,,,,,,,
0193927093_jpg.rf.1418fb337aac78778df364a0a8f5ec5b,,,,,,,,,,
IMG_20220530_164835_jpg.rf.17b07633f61ae0b9084d7dfd2f80b132,,,,,,,,,,
0330745745_jpg.rf.1f9243017c5f150b39c54ba1753f9a54,0,301,368,371,369,369,459,300,457,
0330745745_jpg.rf.1f9243017c5f150b39c54ba1753f9a54,1,349,209,371,210,370,242,347,241,
0330745745_jpg.rf.1f9243017c5f150b39c54ba1753f9a54,2,457,371,494,371,494,446,457,446,
4763260540_jpg.rf.232d3db687a6d00758dbad6971afeec4,0,287,163,562,153,577,539,301,549,
curvedimage045_jpg.rf.0f41b97593d650ee661ec46f5af4a742,0,56,89,537,49,575,511,95,552,
5148591627_jpg.rf.1cdcbbc3ab79bb3b42ce86d2ed6f5fca,0,213,183,430,184,429,402,212,401,
4823426566_jpg.rf.0bbb13ea8ba04ca0c3475b7abffdce0b,0,133,44,487,24,512,453,159,474,
2595337510_jpg.rf.0cd17a402cae13c332266fe611e95477,0,221,297,269,297,269,359,221,359,
4401_W4V5aRQjB_jpg.rf.105de5d97d4efce52cedaa92c84d87ad,0,51,97,579,102,575,632,47,627,
closeimage030_jpg.rf.1c82cd49e7e5891bd9847ef9604e3a31,0,0,128,639,134,639,618,0,611,
noncompliantimage002_jpg.rf.0ba4349166d278645c72005c4d51a76c,0,283,120,464,53,564,311,384,377,
5046378711_jpg.rf.136afcfa07411242eb45f634b8a88d1e,0,518,329,551,331,550,359,516,357,
IMG_20220602_172324_jpg.rf.129d697440645424bb8b75c57948fbba,0,325,308,405,308,405,367,325,367,
pathologicalimage011_png_jpg.rf.1f331d696a2b888c7b32410238e337f8,0,39,39,601,39,601,601,39,601,
4349887791_jpg.rf.17115f267fc07839cb1e964e662f0069,0,117,27,415,4,459,523,161,546,
rotationsimage010_jpg.rf.227719e032302170a858e2d62a81a9e1,0,246,223,356,256,333,337,223,304,
rotationsimage010_jpg.rf.227719e032302170a858e2d62a81a9e1,1,150,332,245,358,226,429,131,403,
rotationsimage010_jpg.rf.227719e032302170a858e2d62a81a9e1,2,378,335,580,386,543,537,341,485,
IMG_20220601_164254_jpg.rf.0bb5fa497351f2e36564fa21f1a9a350,0,-38,-38,677,-38,677,677,-38,677,
4059282918_jpg.rf.15695cf30d491e6e40e542a49a6bfd6a,0,44,143,331,136,340,513,54,520,
4613809117_jpg.rf.1cc6d261d22d514a05b002cddc4ddf52,0,324,453,383,453,383,502,324,502,
blurredimage014_jpg.rf.1cd1fcb4fda7be97b92543f229eb329b,0,121,170,192,170,192,259,121,259,
4872978369_jpg.rf.168d8f035b22b6a3a1951b0174d1ba1e,0,166,63,281,61,283,165,169,168,
closeimage038_jpg.rf.0ba05c588f3cb66f1a852a6271305dc9,0,6,247,581,228,592,592,17,611,
IMG_20220602_160416_jpg.rf.0e7b0a4af019d3a3497c0fe824121f2b,0,338,390,450,386,453,475,341,478,
2413404095_jpg.rf.0fba6583d7951a817772d13fbc9f895b,0,132,438,485,369,523,583,170,651,
664_U7JGADtrC_jpg.rf.1a2b948593dde942b66674783f9692bd,0,85,46,578,46,578,500,85,500,
damagedimage014_jpg.rf.23e098c3fc1a988af837dfec236314f0,0,71,100,512,100,512,527,71,527,
4501_W4vVKpWjB_jpg.rf.26c2fe6ca840dbffeca384f8f1a7970a,0,186,130,432,101,460,338,213,367,
curvedimage036_jpg.rf.23b22f84532760fdce85fa35cc5dcf29,0,293,349,399,335,412,439,306,453,
shadowsimage010_jpg.rf.2773704bcee4df3a9bc0da5010a6a873,0,100,138,426,94,474,446,148,490,
shadowsimage010_jpg.rf.2773704bcee4df3a9bc0da5010a6a873,1,394,-24,663,-24,663,428,394,428,
nominalimage043_jpg.rf.2a312b4f50c167fe5b85a1d7fd27705a,,,,,,,,,,
closeimage018_jpg.rf.27de960a2eab6594a1ab3c31fa54cf6f,0,0,167,584,45,639,463,64,585,
IMG_20220602_170338_jpg.rf.296c289cacc5024481e9ced45627b9b4,0,-47,117,677,97,686,489,-39,508,
5210682827_jpg.rf.328c82608e6b8e5fc8ffcd8d9c67046a,0,275,555,370,553,372,621,276,624,
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,0,460,520,539,520,539,626,460,626,
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,1,-5,511,60,511,60,609,-5,609,
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,2,379,516,455,517,454,624,377,623,
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,3,61,506,128,512,119,616,52,611,
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,4,128,469,230,475,221,621,120,616,
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,5,243,474,356,477,351,626,238,622,
5330422656_jpg.rf.2e791b365e92e95add0e9318b62e80d0,0,390,234,538,234,538,423,390,423,
curvedimage030_jpg.rf.26c5b5fcb1f3b6d2d4da580776dc22f2,0,314,262,496,246,514,451,332,466,
2423605457_jpg.rf.2a46b7d4dccf41d30184201d97741826,0,170,258,299,258,299,411,170,411,
curvedimage043_jpg.rf.2f11de42046e623853b153b804eb389e,0,106,272,351,92,549,363,304,542,
3910499736_jpg.rf.2e8abe2aad4693d928896512d45cdef6,0,244,188,444,166,461,318,261,341,
IMG_20220601_163453_jpg.rf.332c5b10a16f9f3d6be5eaa3f42d6527,0,75,348,177,340,181,401,79,408,
nominalimage045_jpg.rf.320fa00a7993bf530a7eb5f8d96cb6b6,0,117,88,255,145,191,300,52,243,
nominalimage045_jpg.rf.320fa00a7993bf530a7eb5f8d96cb6b6,1,442,335,573,413,472,578,341,500,
blurredimage006_jpg.rf.3024294529b701308be70f4fe248cfc5,0,280,327,433,334,429,443,276,437,
glareimage015_jpg.rf.2a5435622d26aeeadfd3b4940be6396a,0,210,165,414,172,406,435,202,428,
curvedimage005_png_jpg.rf.2b6ec98a4af78439a25b29d7593f8bfe,,,,,,,,,,
noncompliantimage013_jpg.rf.31c480d2c2051c451c962e66c74746ca,0,283,120,464,53,565,311,384,378,
noncompliantimage013_jpg.rf.31c480d2c2051c451c962e66c74746ca,1,38,309,240,237,346,516,145,589,
3905670538_jpg.rf.278fb4b882d1836da06a08d40e9d03cd,0,152,105,449,105,449,531,152,531,
1586_U7QijHUcC_jpg.rf.2b77ddf7125bfcdd84ac9cb3317b4a15,0,219,191,412,190,414,363,221,365,
4195660045_jpg.rf.2cbcc5c10fae64a8990cfce7716254d8,0,234,223,304,221,306,309,236,311,
4354342598_jpg.rf.2927756846cf9f99ad8b711f1cef26a7,,,,,,,,,,
1806_U7hXo6PCC_jpg.rf.299cfb8fe7acf020364e562941a592a3,0,191,256,408,255,410,454,193,455,
5230841770_jpg.rf.33cfab2f2b755fbff14e72b3f5700387,,,,,,,,,,
5117984259_jpg.rf.38c21f0f9aa6b14e46f31812a6138e20,,,,,,,,,,
4952260665_jpg.rf.40f8d177dbf585606e31ab33c3282ff1,0,19,435,141,432,145,564,22,567,
4567505369_jpg.rf.3605c74904cbed9b9321a41c78a1e96f,,,,,,,,,,
3002670645_jpg.rf.3b02e97da16caefcd19f9685ebca7ec8,0,218,215,352,215,352,391,218,391,
closeimage017_jpg.rf.40c3c6e684a9ba7e6f134908944d158f,0,0,254,527,30,639,427,107,639,
5077511105_jpg.rf.45b781ec6a962fbdb364af9e3bf710b2,0,370,268,504,311,450,474,316,431,
4791733019_jpg.rf.4542da48b883c53bfe5effcb7179531b,0,324,530,387,530,387,592,324,592,
5200811157_jpg.rf.3cdbbbe6b7f97b26c599c9a0238db4a9,0,298,373,346,373,346,435,298,435,
3615900549_jpg.rf.456b34c6c86c557335f77813a57c5799,,,,,,,,,,
rotationsimage035_jpg.rf.43ba2b13cd50aa40a11ddab470d40186,0,112,242,229,232,234,301,117,310,
rotationsimage035_jpg.rf.43ba2b13cd50aa40a11ddab470d40186,1,327,266,568,228,589,374,348,412,
rotationsimage035_jpg.rf.43ba2b13cd50aa40a11ddab470d40186,2,82,357,199,342,208,420,92,434,
glareimage005_jpg.rf.43fb3355b0da61501071c59469286953,0,299,402,348,390,360,434,311,447,
bright_spotsimage025_jpg.rf.3ffb604e381e0043e8cfc3aba41017f8,,,,,,,,,,
IMG_20220602_155807_jpg.rf.43e889b9612363989d4eed2b989e63cc,0,410,373,473,330,544,425,481,469,
rotationsimage043_jpg.rf.3d1cf43cee48db4236b9a5457e3bd53a,0,454,317,559,325,554,390,449,382,
rotationsimage043_jpg.rf.3d1cf43cee48db4236b9a5457e3bd53a,1,62,271,306,288,296,434,53,417,
rotationsimage043_jpg.rf.3d1cf43cee48db4236b9a5457e3bd53a,2,385,420,533,437,521,543,374,527,
IMG_20220602_172141_jpg.rf.3679d3efbfa7c8e980bfede0f1b68a3f,,,,,,,,,,
4864169133_jpg.rf.409e2b2974e618f35ac4cae3b74c13b3,,,,,,,,,,
bright_spotsimage007_jpg.rf.404a566d68481364e783c2664a6c47ee,,,,,,,,,,
IMG_20220530_143641_jpg.rf.4441fcffef22602347d78fdee71ca124,,,,,,,,,,
4498433956_jpg.rf.44ddaa447aa0e3584c32f5534f9fc6ca,0,343,166,590,186,566,471,319,450,
4498433956_jpg.rf.44ddaa447aa0e3584c32f5534f9fc6ca,1,234,158,599,186,577,472,212,444,
4498433956_jpg.rf.44ddaa447aa0e3584c32f5534f9fc6ca,2,61,143,332,172,299,473,28,444,
4597824773_jpg.rf.42f85e9b306a65c26a2e23d139f577e2,0,383,42,463,82,405,192,325,152,
4597824773_jpg.rf.42f85e9b306a65c26a2e23d139f577e2,1,477,200,571,157,627,276,533,318,
4597824773_jpg.rf.42f85e9b306a65c26a2e23d139f577e2,2,7,92,62,96,55,189,0,185,
4597824773_jpg.rf.42f85e9b306a65c26a2e23d139f577e2,3,548,421,643,459,596,572,501,534,
4597824773_jpg.rf.42f85e9b306a65c26a2e23d139f577e2,4,239,441,306,398,369,492,302,535,
4597824773_jpg.rf.42f85e9b306a65c26a2e23d139f577e2,5,160,306,228,330,193,424,125,400,
4462727544_jpg.rf.3bc652a0e28a342fd4620681ab3b0c41,0,164,209,301,206,304,342,167,345,
perspectiveimage022_jpg.rf.3eece662051261b4354556d4e8d9dc37,0,169,250,285,205,359,384,243,428,
high_versionimage028_jpg.rf.46610d0cac0a3c49abf28afa53dcc514,0,56,52,514,46,521,590,64,596,
rotationsimage007_jpg.rf.46fd7243d9c1cae8a7a8765fea4769ac,0,351,235,462,212,478,292,367,315,
rotationsimage007_jpg.rf.46fd7243d9c1cae8a7a8765fea4769ac,1,258,414,458,358,499,511,299,567,
rotationsimage007_jpg.rf.46fd7243d9c1cae8a7a8765fea4769ac,2,197,253,290,231,306,298,213,320,
damagedimage010_jpg.rf.477d578cdc41b2532e2b6a9d9b61542a,0,138,129,520,186,472,510,90,453,
IMG_20220602_173108_jpg.rf.3ad294e51f69f80f43b80f0dea99b0d8,,,,,,,,,,
curvedimage006_jpg.rf.47a42adb0d8527fecceab90c5df965bc,0,286,413,348,380,393,462,332,495,
closeimage025_jpg.rf.47ab9eef13e73059c0f946bf7d732964,0,4,245,578,225,590,593,16,613,
3875393950_jpg.rf.481f8e62d4323b7caf82e88b8c588197,0,136,102,551,96,556,425,140,431,
2758648750_jpg.rf.48b1166878e854c0f8fbbcd7bacc6a0a,0,-34,-9,570,-9,570,626,-34,626,
pathologicalimage002_png_jpg.rf.49d797bd820efd47581ee076debdaeef,0,31,-38,608,-38,608,677,31,677,
IMG_20220601_162509_jpg.rf.4dc28bbfd6251c017484590d9b435cea,0,14,277,39,277,39,298,14,298,
IMG_20220601_162509_jpg.rf.4dc28bbfd6251c017484590d9b435cea,1,132,278,157,278,157,300,132,300,
IMG_20220601_162509_jpg.rf.4dc28bbfd6251c017484590d9b435cea,2,505,440,576,443,574,504,503,502,
IMG_20220602_174445_jpg.rf.49c50ee61b2ff55b6b1e4e52d2c47fbc,0,438,-4,605,-4,605,133,438,133,
IMG_20220602_174445_jpg.rf.49c50ee61b2ff55b6b1e4e52d2c47fbc,1,508,472,589,470,590,536,509,538,
IMG_20220602_174445_jpg.rf.49c50ee61b2ff55b6b1e4e52d2c47fbc,2,36,1,171,-9,175,51,40,61,
IMG_20220602_174445_jpg.rf.49c50ee61b2ff55b6b1e4e52d2c47fbc,3,619,60,640,60,640,82,619,82,
high_versionimage030_jpg.rf.4cbcc9ac7c97d71923cb4584ab97d6e0,0,187,8,441,0,462,590,209,598,
high_versionimage030_jpg.rf.4cbcc9ac7c97d71923cb4584ab97d6e0,1,446,49,630,42,650,472,467,480,
high_versionimage030_jpg.rf.4cbcc9ac7c97d71923cb4584ab97d6e0,2,-15,92,173,87,187,521,-2,526,
1107_U72oYkT2C_jpg.rf.4de721b27b89c5c33866f8940af4dc38,0,188,191,403,189,405,381,190,383,
shadowsimage011_jpg.rf.483b77979d8c4e5704c5a03ae06f4df1,,,,,,,,,,
IMG_20220602_174540_jpg.rf.4ef5ed15770f12b4e530812ff1550a52,,,,,,,,,,
closeimage001_jpg.rf.540a4f2a3b77a9fc366c56c063a9a99a,0,0,128,639,134,639,619,0,613,
closeimage026_jpg.rf.4fcfcfa463775560b00f9f7e8ad9e6f2,0,-4,193,677,228,658,624,-22,590,
3977415218_jpg.rf.580493250aa2f795b793612956747e39,0,149,190,243,190,243,350,149,350,
3977415218_jpg.rf.580493250aa2f795b793612956747e39,1,339,74,544,74,544,373,339,373,
2888182451_jpg.rf.519ee83c87490e1c2016c3a4d3ffd098,0,153,139,335,227,223,461,40,373,
3360048252_jpg.rf.56644d048d4a3a82e04feb7695af3d5b,0,146,112,425,89,458,492,179,515,
rotationsimage027_jpg.rf.570674e72f103adda5c1a4079cd4478d,0,458,237,574,275,555,340,439,302,
rotationsimage027_jpg.rf.570674e72f103adda5c1a4079cd4478d,1,337,186,432,213,420,261,325,235,
rotationsimage027_jpg.rf.570674e72f103adda5c1a4079cd4478d,2,142,250,409,335,360,503,93,419,
3950836668_jpg.rf.4e17a8792e25c243da9dcfa6dc8c126b,,,,,,,,,,
2590705769_jpg.rf.5322dce0b75168584f1b6e5cdddfe547,0,343,151,599,153,594,515,339,512,
nominalimage046_jpg.rf.5827b212bd1390d4472c63bf19200cb8,0,276,216,379,199,394,294,292,311,
nominalimage046_jpg.rf.5827b212bd1390d4472c63bf19200cb8,1,288,421,404,423,402,526,285,523,
2825376970_jpg.rf.5795c9e1bf557505582f41bdd17b1ed9,0,273,84,393,89,387,220,267,215,
3412308815_jpg.rf.5935316454c709ddd589e7660ba605dd,,,,,,,,,,
v3VCard-BasicWikipedia_png_jpg.rf.5a89567c1be749618f7305d937d560eb,0,-9,-9,650,-9,650,650,-9,650,
5206766403_jpg.rf.5a5b530204aed827a904b652a969ae27,0,-38,-38,676,-38,676,676,-38,676,
3989685099_jpg.rf.4d2be83273cc091c532b6d07398e20db,0,518,432,556,432,556,490,518,490,
shadowsimage001_jpg.rf.5224cbeeacf10b6772542825ade8961e,0,438,221,581,219,582,327,439,329,
shadowsimage001_jpg.rf.5224cbeeacf10b6772542825ade8961e,1,71,88,308,72,319,250,83,267,
shadowsimage001_jpg.rf.5224cbeeacf10b6772542825ade8961e,2,487,75,607,68,612,155,492,162,
blurredimage008_jpg.rf.57893d7e9d73029709accef966aaa4a5,0,249,114,506,307,336,536,80,343,
3841778451_jpg.rf.49c5c69f5c806163fadb936c2f67b464,0,104,208,169,208,169,273,104,273,
3841778451_jpg.rf.49c5c69f5c806163fadb936c2f67b464,1,505,192,569,218,524,320,460,294,
3841778451_jpg.rf.49c5c69f5c806163fadb936c2f67b464,2,162,313,241,326,233,376,155,364,
2824550145_jpg.rf.5af2ed264b6dd72045399576960d4446,0,300,284,340,284,340,336,300,336,
IMG_20220604_164414_jpg.rf.5ea985023f9442cfff34e2be9a47fb4b,,,,,,,,,,
4778908748_jpg.rf.5bed9fda48c1969568b5609ad051c20c,0,158,107,426,115,420,322,152,314,
2591540510_jpg.rf.5d04c0b50db5ed9c91b5607a23f54366,0,103,34,518,40,509,623,94,617,
IMG_20220603_120920_jpg.rf.61281f38b4f56dd6fecf1a19e9c9653f,0,62,47,207,78,186,179,42,147,
perspectiveimage026_jpg.rf.612d2749fb058fd4250a1531cd47f860,0,221,201,310,179,362,364,273,386,
2822148224_jpg.rf.644a3f5d54bfcdc5f4fc9d78e87b0866,0,124,210,301,212,300,304,123,303,
3704756357_jpg.rf.633129aaffeaa8c6f99ead0b88eeb882,0,162,51,490,57,482,504,153,498,
2700376493_jpg.rf.63fd97afafd46cd0cbb71a1e4f86e5f0,,,,,,,,,,
4578_W4wHVVfAB_jpg.rf.5ba83ba8efacd41391516bdb38255ac9,0,216,181,443,162,461,376,235,395,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,0,481,264,542,264,542,342,481,342,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,1,3,23,111,8,132,148,24,164,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,2,545,201,607,193,618,275,557,283,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,3,558,9,620,3,629,85,567,91,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,4,271,330,357,330,357,436,271,436,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,5,583,95,646,109,628,188,565,174,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,6,355,37,462,62,429,202,321,177,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,7,558,286,638,298,622,399,543,387,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,8,495,566,591,485,653,561,557,642,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,9,19,232,142,256,112,405,-10,381,
2895474717_jpg.rf.684fa824c2ffcae1f654c45d255a8f2a,10,465,335,556,335,556,528,465,528,
closeimage027_jpg.rf.6ce7553157f16d672dc220e00810fee3,0,-30,376,394,29,669,377,244,724,
perspectiveimage013_jpg.rf.672aa6c57127a124921c557ad4eeac62,0,286,199,369,194,386,434,302,439,
5079234799_jpg.rf.65426f587c20a00f5658939426e5be28,,,,,,,,,,
1951360565_jpg.rf.6911a36dcc6fd06c27ef7d695576d3ac,,,,,,,,,,
3635425508_jpg.rf.68dfc83a4d219328fb38b55818fa0e57,0,291,285,443,369,366,509,214,425,
glareimage048_jpg.rf.68c0ad4d0a1fcd26218a9d687906d693,,,,,,,,,,
nominalimage030_jpg.rf.6332f4055d1eda17b2f4d7ad76951aa5,0,127,252,266,245,277,460,137,466,
4474_W4vDbqmdB_jpg.rf.6407242ed70f1093c120bee6ec54ca38,0,214,198,444,192,449,407,220,413,
3044664106_jpg.rf.60b5f791706e6c552f26d9374074374d,0,41,471,128,471,128,578,41,578,
4949259371_jpg.rf.627db2b4e874222a326712d26900ba29,,,,,,,,,,
glareimage027_jpg.rf.6c6cd6bde550cb4b4de57590d92954bd,0,167,345,403,345,403,517,167,517,
5182903578_jpg.rf.6e23ba183122bb5a94b0f99906cdf69c,0,191,296,448,291,453,550,196,554,
nominalimage032_jpg.rf.62f79d5286514fa9b91c2243219a0d46,0,261,285,402,271,415,397,273,412,
nominalimage055_jpg.rf.60363a88c92ac288a462be31625e7302,0,119,68,593,83,579,524,105,509,
rotationsimage039_jpg.rf.72a35f714ca0cd2323e8f4b59ade5815,0,250,205,459,205,459,325,250,325,
rotationsimage039_jpg.rf.72a35f714ca0cd2323e8f4b59ade5815,1,107,379,266,384,262,490,103,484,
rotationsimage039_jpg.rf.72a35f714ca0cd2323e8f4b59ade5815,2,349,429,483,429,483,524,349,524,
curvedimage026_jpg.rf.6cc0d2ebaee9e7586772aaa5d2840c20,0,293,348,399,335,412,440,306,453,
pathologicalimage022_png_jpg.rf.6ea10ddda62aedc610c6faeffa48634e,0,15,38,624,38,624,383,15,383,
pathologicalimage022_png_jpg.rf.6ea10ddda62aedc610c6faeffa48634e,1,35,17,424,17,424,622,35,622,
IMG_20220601_164334_jpg.rf.7229626b6990835f16b9201e88b93023,0,-38,-38,677,-38,677,677,-38,677,
IMG_20220530_190424_jpg.rf.72fc1f8c35113f996f3e1a7586fe4dc3,,,,,,,,,,
3979822916_jpg.rf.70f16a9c2b29f16ad77647ab55d163e0,,,,,,,,,,
monitorimage016_jpg.rf.6e020d2f91eb8b49582c78a104169539,0,32,33,601,27,607,608,38,613,
blurredimage011_jpg.rf.73864a3c2a1abc5eea08a18618d14bbb,0,255,-14,665,-35,695,488,285,510,
damagedimage019_jpg.rf.74b9904daa7a0f4c92b4183efc97325b,0,227,246,504,291,467,521,190,477,
high_versionimage021_jpg.rf.8170d5e733f7d83ca09d0fb98cc0fbe4,0,242,9,629,231,411,612,24,390,
damagedimage036_jpg.rf.765d3decae39e7f61dc948a76d3dede6,,,,,,,,,,
closeimage029_jpg.rf.7e2de957c389e67db206cb7561d04026,0,0,128,639,134,639,619,0,613,
IMG_20220601_165001_jpg.rf.7ae43aeddac575c828252288b2119144,,,,,,,,,,
IMG_20220602_160055_jpg.rf.84496b4f025a07656185cc6831af1b44,0,372,415,467,422,461,497,367,490,
2117739855_jpg.rf.7fcf301a9ffd6e758f4e7fa79543e4e2,,,,,,,,,,
4506678195_jpg.rf.8b5ced0fa2cde3efb65e18fd93f75ca3,0,200,219,307,216,312,365,204,369,
0071851287_jpg.rf.8043ec0c5f4dbf2cd093af36eaf4cd23,0,56,335,227,335,227,625,56,625,
0071851287_jpg.rf.8043ec0c5f4dbf2cd093af36eaf4cd23,1,397,387,427,387,427,410,397,410,
4222589347_jpg.rf.881d5aa6c58beb6748e1879843201902,0,352,393,438,393,438,506,352,506,
5036846122_jpg.rf.7e2e23241c4394219ce9a86588f674f2,0,406,282,499,323,468,394,375,353,
glareimage021_jpg.rf.7eeac3f79e49da7b2277bfc03ce00074,0,179,207,450,207,450,515,179,515,
4340209507_jpg.rf.87958953f1c2ad2f1bec0e0842c7e4e6,,,,,,,,,,
closeimage013_jpg.rf.884c18bcb475872e50eb16d9bc401aa3,0,2,100,642,97,644,605,5,608,
